name,instance,run_id,test_pretraining/micro/recall,test_pretraining/macro_example/f1,test_pretraining/macro_example/recall,test_incremental_other-art-writing/macro_types/precision,test_incremental_other-art/macro_types/recall,test_incremental_only/macro_example/recall,test/macro_types/precision,test/macro_types/recall,test_pretraining/macro_types/precision,test/micro/recall,test_incremental_other-art-film/macro_types/f1,test_incremental_other-art-film/macro_types/recall,test_incremental/macro_types/f1,test_incremental_only/macro_example/precision,test_incremental_other-art-stage/macro_types/recall,test_pretraining/macro_types/recall,test_incremental/macro_example/recall,test_incremental_other-art-music/macro_types/recall,test_incremental/micro/recall,test_incremental_only/micro/recall,test_incremental_other-art-film/macro_types/precision,test_incremental_other-art-writing/macro_types/recall,test_incremental_other-art-stage/macro_types/precision,test/macro_example/recall,test_incremental/micro/precision,test_incremental_only/micro/f1,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_example_exclusive/precision,test/macro_types/f1,threshold_pretraining,test_incremental_only/macro_example/f1,test_incremental_other-art/macro_types/f1,test_incremental/macro_types/recall,test_incremental_only/macro_types/precision,test_incremental_other-art-broadcast/macro_types/f1,test_incremental_other-art-broadcast/macro_types/precision,test_pretraining/micro/f1,test_incremental_only/micro/precision,test_incremental_other-art-broadcast/macro_types/recall,test_pretraining/macro_types/f1,test_incremental/macro_example/f1,test_incremental_other-art/macro_types/precision,test_incremental_only/macro_types/recall,test_incremental_other-art-writing/macro_types/f1,test_incremental_only/macro_example_exclusive/recall,threshold_incremental,test_pretraining/micro/precision,test_incremental/macro_example/precision,test_incremental_only/macro_example_exclusive/f1,test_incremental/macro_example_exclusive/recall,test_incremental_other-art-music/macro_types/f1,test/macro_example/precision,test_incremental/macro_types/precision,test_pretraining/macro_example/precision,test_incremental_other-art-music/macro_types/precision,epoch,test/micro/f1,test_incremental/macro_example_exclusive/f1,test_incremental_only/macro_types/f1,test_incremental_other-art-stage/macro_types/f1,test_incremental/micro/f1,test/macro_example/f1,test/micro/precision
kenn_hybrid_adapter_bert_ms,2,sqpeh6jd,0.8393162488937378,0.857235312461853,0.8491289615631104,0.3913043439388275,0.935897409915924,0.03404045104980469,0.8522872924804688,0.7792582511901855,0.8522872924804688,0.8393162488937378,0.625,0.4651162922382355,0.6204037070274353,0.040947213768959045,0.800000011920929,0.7792582511901855,0.05114290490746498,0.5249999761581421,0.6414566040039062,0.4129353165626526,0.9523809552192688,0.1551724076271057,1.0,0.8491289615631104,0.7658863067626953,0.5337620377540588,0.9262821078300476,0.5320513248443604,0.8141383528709412,0.33,0.03717575594782829,0.8463767766952515,0.5301977396011353,0.7426194548606873,0.38297876715660095,0.529411792755127,0.8470385074615479,0.7545454502105713,0.30000001192092896,0.8141383528709412,0.0595579594373703,0.7724867463111877,0.44905775785446167,0.2222222238779068,0.442307710647583,0.39,0.8549042344093323,0.0712876170873642,0.48304659128189087,0.6645299196243286,0.6461537480354309,0.8654979467391968,0.747597336769104,0.8654979467391968,0.8399999737739563,52,0.8470385074615479,0.7738717198371887,0.5596801042556763,0.888888955116272,0.6981707215309143,0.857235312461853,0.8549042344093323
kenn_top_down_adapter_bert_ms,2,14fup3fg,0.8389363884925842,0.8558090329170227,0.8488658666610718,0.4444444477558136,0.935897409915924,0.033053770661354065,0.8426464796066284,0.7784459590911865,0.8426464796066284,0.8389363884925842,0.625,0.4651162922382355,0.5852407217025757,0.03996053338050842,0.800000011920929,0.7784459590911865,0.05064956471323967,0.5,0.6358543634414673,0.4029850661754608,0.9523809552192688,0.13793103396892548,0.6857143044471741,0.8488658666610718,0.7229299545288086,0.4969325065612793,0.9134615659713744,0.519230842590332,0.8092749118804932,0.33,0.03618047758936882,0.8463767766952515,0.5231574773788452,0.6423541307449341,0.3272727429866791,0.36000001430511475,0.8454397320747375,0.6480000019073486,0.30000001192092896,0.8092749118804932,0.0588788241147995,0.7724867463111877,0.44060948491096497,0.21052631735801697,0.4294872283935547,0.43,0.8520447611808777,0.07030093669891357,0.47011440992355347,0.6581196784973145,0.6060605645179749,0.8628667593002319,0.6640428900718689,0.8628667593002319,0.7692307829856873,74,0.8454397320747375,0.7650473117828369,0.5226903557777405,0.7384615540504456,0.6766021251678467,0.8558090329170227,0.8520447611808777
kenn_bottom_up_adapter_bert_ms,2,290rwibj,0.8396961092948914,0.8550156950950623,0.8492605686187744,0.375,0.935897409915924,0.03502713143825531,0.8403754234313965,0.7797722220420837,0.8403754234313965,0.8396961092948914,0.6349206566810608,0.4651162922382355,0.5844017863273621,0.0411938838660717,0.800000011920929,0.7797722220420837,0.051636241376399994,0.5,0.6470588445663452,0.4228855669498443,1.0,0.2068965584039688,0.5581395626068115,0.8492605686187744,0.6936936974525452,0.49275365471839905,0.9252136945724488,0.5352564454078674,0.8089402914047241,0.33,0.037861041724681854,0.8463767766952515,0.5346517562866211,0.6187349557876587,0.3396226763725281,0.3913043439388275,0.8446694612503052,0.5902777910232544,0.30000001192092896,0.8089402914047241,0.05986209586262703,0.7724867463111877,0.4544025957584381,0.2666666805744171,0.4551282525062561,0.14,0.8497021198272705,0.07120539247989655,0.4919509291648865,0.6709401607513428,0.6060605645179749,0.8608493804931641,0.6443603038787842,0.8608493804931641,0.7692307829856873,50,0.8446694612503052,0.7778235077857971,0.5239865183830261,0.6575343012809753,0.6695652008056641,0.8550156950950623,0.8497021198272705
kenn_hybrid_adapter_bert_ms,1,toeegluv,0.8444444537162781,0.8417757153511047,0.8528125882148743,0.26595744490623474,0.935897409915924,0.04620950669050217,0.8052904605865479,0.7900716662406921,0.8052904605865479,0.8444444537162781,0.31292515993118286,0.5348837375640869,0.4403882920742035,0.04403058439493179,0.8999999761581421,0.7900716662406921,0.057391874492168427,0.675000011920929,0.7170868515968323,0.5472636818885803,0.2211538404226303,0.43103447556495667,0.14835165441036224,0.8528125882148743,0.3786982297897339,0.31976744532585144,0.7400641441345215,0.572115421295166,0.797608494758606,0.33,0.04509373754262924,0.8463767766952515,0.6239137649536133,0.25385186076164246,0.28070175647735596,0.29629629850387573,0.8224956393241882,0.2258726954460144,0.2666666805744171,0.797608494758606,0.05717315524816513,0.7724867463111877,0.5615170001983643,0.32894736528396606,0.6004273891448975,0.03,0.8016588687896729,0.05695609375834465,0.5859295725822449,0.7457265257835388,0.45000001788139343,0.8310208320617676,0.34029102325439453,0.8310208320617676,0.3375000059604645,59,0.8224956393241882,0.7428845167160034,0.3496384024620056,0.25471699237823486,0.4956437051296234,0.8417757153511047,0.8016588687896729
kenn_top_down_adapter_bert_ms,1,2f4ey2q3,0.8423551917076111,0.8294493556022644,0.85113525390625,0.26760563254356384,0.935897409915924,0.04028942435979843,0.798557460308075,0.7861331105232239,0.798557460308075,0.8423551917076111,0.1968912035226822,0.44186046719551086,0.3815026581287384,0.04514060169458389,0.9333333373069764,0.7861331105232239,0.05451405793428421,0.6000000238418579,0.686274528503418,0.4925373196601868,0.12666666507720947,0.32758620381355286,0.10486891120672226,0.85113525390625,0.29097387194633484,0.2318501323461533,0.8285256624221802,0.5865384936332703,0.7922965884208679,0.33,0.04257727414369583,0.8463767766952515,0.5897796154022217,0.18382826447486875,0.15000000596046448,0.10000000149011612,0.808053195476532,0.1516079604625702,0.30000001192092896,0.7922965884208679,0.05877741053700447,0.7724867463111877,0.5205560326576233,0.2945736348628998,0.5235042572021484,0.060000000000000005,0.7764355540275574,0.06376418471336365,0.5532315969467163,0.7083333730697632,0.417391300201416,0.8088411688804626,0.28193801641464233,0.8088411688804626,0.3199999928474426,78,0.808053195476532,0.7637296319007874,0.2717065215110779,0.1885521858930588,0.408673882484436,0.8294493556022644,0.7764355540275574
kenn_bottom_up_adapter_bert_ms,1,2h7wba12,0.8419753313064575,0.8453961610794067,0.8509544134140015,0.3448275923728943,0.935897409915924,0.04012497887015343,0.8120285272598267,0.7847354412078857,0.8120285272598267,0.8419753313064575,0.3025209903717041,0.41860464215278625,0.4717720448970794,0.04201611503958702,0.8999999761581421,0.7847354412078857,0.05430850386619568,0.6000000238418579,0.680672287940979,0.482587069272995,0.2368421107530594,0.3448275923728943,0.19014084339141848,0.8509544134140015,0.4533582031726837,0.3540145754814148,0.8103632926940918,0.5459401607513428,0.7981486916542053,0.33,0.04104877635836601,0.8463767766952515,0.5776661038398743,0.3239273428916931,0.30188679695129395,0.3478260934352875,0.8308498859405518,0.2795388996601105,0.2666666805744171,0.7981486916542053,0.058059196919202805,0.7724867463111877,0.5060198307037354,0.3448275923728943,0.5213675498962402,0.03,0.8200147747993469,0.062366388738155365,0.5333709716796875,0.7056624889373779,0.5454545617103577,0.8399100303649902,0.3986872434616089,0.8399100303649902,0.5,78,0.8308498859405518,0.7543973922729492,0.39499780535697937,0.3139534890651703,0.5442329049110413,0.8453961610794067,0.8200147747993469
kenn_hybrid_adapter_bert_ms,0,33qbijm3,0.8491927981376648,0.8553353548049927,0.8560768961906433,0.3655914068222046,0.935897409915924,0.05582962930202484,0.8381099700927734,0.801433801651001,0.8381099700927734,0.8491927981376648,0.7199999690055847,0.8372092843055725,0.6700164079666138,0.05336293205618858,0.6666666865348816,0.801433801651001,0.062489721924066544,0.574999988079071,0.7871148586273193,0.6716417670249939,0.6315789222717285,0.5862069129943848,0.7692307829856873,0.8560768961906433,0.6030042767524719,0.5648535490036011,0.8354700803756714,0.6933760643005371,0.819361686706543,0.33,0.054568417370319366,0.8463767766952515,0.7223856449127197,0.5951749682426453,0.4150943458080292,0.28947368264198303,0.8435053825378418,0.48736461997032166,0.7333333492279053,0.819361686706543,0.06338127702474594,0.7724867463111877,0.679683268070221,0.4503311514854431,0.7254273891448975,0.08,0.837893545627594,0.06429862976074219,0.7090397477149963,0.811965823173523,0.7076922655105591,0.8545951247215271,0.6247269511222839,0.8545951247215271,0.9200000166893004,52,0.8435053825378418,0.823550283908844,0.634628176689148,0.7142857313156128,0.6828675866127014,0.8553353548049927,0.837893545627594
kenn_top_down_adapter_bert_ms,0,y77goec0,0.8455840349197388,0.8496531248092651,0.8535444140434265,0.3100000023841858,0.935897409915924,0.04941621422767639,0.8221666812896729,0.7920535802841187,0.8221666812896729,0.8455840349197388,0.5090909600257874,0.6511628031730652,0.5532311797142029,0.05056733638048172,0.4333333373069763,0.7920535802841187,0.058830782771110535,0.5249999761581421,0.7338935732841492,0.5771144032478333,0.41791045665740967,0.5344827771186829,0.302325576543808,0.8535444140434265,0.4897196292877197,0.4241316318511963,0.8899573087692261,0.6570513248443604,0.8068292140960693,0.33,0.04998514801263809,0.8463767766952515,0.6410905122756958,0.429363876581192,0.3216783106327057,0.20353981852531433,0.8344892263412476,0.3352601230144501,0.7666666507720947,0.8068292140960693,0.06329485774040222,0.7724867463111877,0.5821291208267212,0.39240506291389465,0.642094075679779,0.15000000000000002,0.8236817717552185,0.06849202513694763,0.6494866013526917,0.7644230723381042,0.6666666865348816,0.8457971811294556,0.4865510165691376,0.8457971811294556,0.91304349899292,58,0.8344892263412476,0.8224274516105652,0.49421051144599915,0.3561643958091736,0.5874439477920532,0.8496531248092651,0.8236817717552185
kenn_bottom_up_adapter_bert_ms,0,33lo2v5w,0.8476732969284058,0.8547480702400208,0.8549668788909912,0.3777777850627899,0.935897409915924,0.05311626195907593,0.8364162445068359,0.7968199253082275,0.8364162445068359,0.8476732969284058,0.6862744688987732,0.8139534592628479,0.6441981792449951,0.05138957127928734,0.5,0.7968199253082275,0.06092747673392296,0.5249999761581421,0.7647058963775635,0.6318408250808716,0.5932203531265259,0.5862069129943848,0.7142857313156128,0.8549668788909912,0.596069872379303,0.5404255986213684,0.8717949390411377,0.6677350997924805,0.8161381483078003,0.33,0.05223865061998367,0.8463767766952515,0.6823985576629639,0.5775601863861084,0.4150943458080292,0.28947368264198303,0.8426319360733032,0.47211897373199463,0.7333333492279053,0.8161381483078003,0.06386233121156693,0.7724867463111877,0.631698727607727,0.45945945382118225,0.6901710033416748,0.06999999999999999,0.8376501798629761,0.06709422916173935,0.6787676811218262,0.7916667461395264,0.6666666865348816,0.8545293807983398,0.6100479960441589,0.8545293807983398,0.91304349899292,50,0.8426319360733032,0.8298009634017944,0.6034175753593445,0.5882353186607361,0.6699386835098267,0.8547480702400208,0.8376501798629761
box_adapter_bert_ms,2,2q6v15nh,0.8009496927261353,0.783585250377655,0.8060863018035889,0.12147505581378935,0.8974359035491943,0.07597434520721436,0.6869629621505737,0.6984063386917114,0.6869629621505737,0.8009496927261353,0.17731960117816925,1.0,0.3341067135334015,0.01953626051545143,0.9666666388511658,0.6984063386917114,0.07276763021945953,1.0,0.9467787146568298,0.9850746393203736,0.09728506952524184,0.9655172228813172,0.06345733255147934,0.8060863018035889,0.13949649035930634,0.1621621549129486,0.36474359035491943,0.2538461685180664,0.6926373839378357,0.26,0.031080415472388268,0.8284023404121399,0.9716033935546876,0.08824139088392258,0.12711864709854126,0.06787330657243729,0.6888272166252136,0.08835341036319733,1.0,0.6926373839378357,0.04051348939538002,0.7692307829856873,0.9864367842674256,0.21579961478710177,0.9871795177459716,0.02,0.6042413115501404,0.028071042150259014,0.4038461446762085,0.94551283121109,0.16701461374759674,0.7623063325881958,0.2017396241426468,0.7623063325881958,0.09111617505550385,15,0.6888272166252136,0.5264155864715576,0.16199184954166412,0.1190965175628662,0.24316547811031344,0.783585250377655,0.6042413115501404
