name,instance,run_id,threshold_pretraining,test_incremental/micro/recall,test_incremental/macro_example_exclusive/precision,test_incremental/macro_types/f1,test_incremental_only/macro_example/f1,test_incremental_other-language-programming_language/macro_types/f1,test_incremental_only/micro/f1,test_incremental/macro_example_exclusive/recall,test/macro_example/f1,test_incremental/micro/f1,test_incremental_only/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,test_incremental/micro/precision,test_pretraining/macro_example/precision,test_incremental_only/macro_types/precision,test_incremental_only/macro_example_exclusive/recall,test_incremental_only/micro/precision,test/macro_example/precision,test_pretraining/macro_types/f1,test_incremental/macro_example_exclusive/f1,test/macro_types/recall,test/macro_types/precision,epoch,test_incremental_other-language/macro_types/precision,test_incremental_only/macro_example/recall,test_incremental_other-language/macro_types/recall,test_incremental/macro_example/precision,threshold_incremental,test/macro_example/recall,test_incremental/macro_types/recall,test_incremental_only/macro_types/recall,test_incremental_other-language/macro_types/f1,test/micro/recall,test/macro_types/f1,test_incremental_other-language-programming_language/macro_types/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental_only/micro/recall,test_pretraining/macro_example/recall,test_incremental_only/macro_example/precision,test_pretraining/micro/precision,test_incremental/macro_example/f1,test/micro/f1,test_pretraining/micro/f1,test_pretraining/micro/recall,test_pretraining/macro_types/precision,test_incremental_other-language-programming_language/macro_types/precision,test_pretraining/macro_example/f1,test_pretraining/macro_types/recall,test_incremental/macro_example/recall,test_incremental/macro_types/precision,test/micro/precision
kenn_hybrid_adapter_bert_ms,2,3vn47cq9,0.33,0.6818181872367859,0.6724137663841248,0.6056797504425049,0.01480019837617874,0.07761965692043304,0.07761965692043304,0.6206896305084229,0.8247015476226807,0.13921114802360535,0.07761965692043304,1.0,0.07751937955617905,0.7883884906768799,0.040376849472522736,1.0,0.040376849472522736,0.7883884906768799,0.8322799205780029,0.6455171704292297,0.8182529211044312,0.8467962741851807,21,0.9677419066429138,0.01480019837617874,0.517241358757019,0.019240256398916245,0.99,0.8645212650299072,0.7586206793785095,1.0,0.6741572618484497,0.8570867776870728,0.8322799205780029,1.0,1.0,1.0,0.8645212650299072,0.01480019837617874,0.7524991631507874,0.0184706449508667,0.8013949990272522,0.8013949990272522,0.8570867776870728,0.8467962741851807,0.040376849472522736,0.8247015476226807,0.8182529211044312,0.01776023581624031,0.504059374332428,0.7524991631507874
kenn_top_down_adapter_bert_ms,2,22kknc6a,0.33,0.6818181872367859,0.6206896305084229,0.6110164523124695,0.01480019837617874,0.10471203923225404,0.10471203923225404,0.6206896305084229,0.8337206840515137,0.18126888573169708,0.10471203923225404,1.0,0.10452961921691896,0.8050392866134644,0.05524861812591553,1.0,0.05524861812591553,0.8050392866134644,0.8324295878410339,0.6206896305084229,0.8182529211044312,0.8471060991287231,21,0.9677419066429138,0.01480019837617874,0.517241358757019,0.01776023581624031,0.03,0.8645212650299072,0.7586206793785095,1.0,0.6741572618484497,0.8570867776870728,0.8324295878410339,1.0,1.0,1.0,0.8645212650299072,0.01480019837617874,0.7793645262718201,0.01776023581624031,0.8163800239562988,0.8163800239562988,0.8570867776870728,0.8471060991287231,0.05524861812591553,0.8337206840515137,0.8182529211044312,0.01776023581624031,0.5114952325820923,0.7793645262718201
kenn_bottom_up_adapter_bert_ms,2,1czhir4h,0.33,0.6818181872367859,0.6206896305084229,0.6159397959709167,0.01480019837617874,0.12931033968925476,0.12931033968925476,0.6206896305084229,0.8412019610404968,0.21699818968772888,0.12931033968925476,1.0,0.12903225421905518,0.819107711315155,0.06912442296743393,1.0,0.06912442296743393,0.819107711315155,0.8325691223144531,0.6206896305084229,0.8182529211044312,0.8473951816558838,21,0.9677419066429138,0.01480019837617874,0.517241358757019,0.01776023581624031,0.01,0.8645212650299072,0.7586206793785095,1.0,0.6741572618484497,0.8570867776870728,0.8325691223144531,1.0,1.0,1.0,0.8645212650299072,0.01480019837617874,0.794829785823822,0.01776023581624031,0.8247851729393005,0.8247851729393005,0.8570867776870728,0.8473951816558838,0.06912442296743393,0.8412019610404968,0.8182529211044312,0.01776023581624031,0.518433153629303,0.794829785823822
kenn_hybrid_adapter_bert_ms,1,s7kbjvk6,0.33,0.6818181872367859,0.6724137663841248,0.6056797504425049,0.01480019837617874,0.07761965692043304,0.07761965692043304,0.6206896305084229,0.8247015476226807,0.13921114802360535,0.07761965692043304,1.0,0.07751937955617905,0.7883884906768799,0.040376849472522736,1.0,0.040376849472522736,0.7883884906768799,0.8322799205780029,0.6455171704292297,0.8182529211044312,0.8467962741851807,21,0.9677419066429138,0.01480019837617874,0.517241358757019,0.019240256398916245,0.99,0.8645212650299072,0.7586206793785095,1.0,0.6741572618484497,0.8570867776870728,0.8322799205780029,1.0,1.0,1.0,0.8645212650299072,0.01480019837617874,0.7524991631507874,0.0184706449508667,0.8013949990272522,0.8013949990272522,0.8570867776870728,0.8467962741851807,0.040376849472522736,0.8247015476226807,0.8182529211044312,0.01776023581624031,0.504059374332428,0.7524991631507874
kenn_top_down_adapter_bert_ms,1,3vxoqybi,0.33,0.6818181872367859,0.6724137663841248,0.6056797504425049,0.01480019837617874,0.07761965692043304,0.07761965692043304,0.6206896305084229,0.8247015476226807,0.13921114802360535,0.07761965692043304,1.0,0.07751937955617905,0.7883884906768799,0.040376849472522736,1.0,0.040376849472522736,0.7883884906768799,0.8322799205780029,0.6455171704292297,0.8182529211044312,0.8467962741851807,28,0.9677419066429138,0.01480019837617874,0.517241358757019,0.019240256398916245,0.99,0.8645212650299072,0.7586206793785095,1.0,0.6741572618484497,0.8570867776870728,0.8322799205780029,1.0,1.0,1.0,0.8645212650299072,0.01480019837617874,0.7524991631507874,0.0184706449508667,0.8013949990272522,0.8013949990272522,0.8570867776870728,0.8467962741851807,0.040376849472522736,0.8247015476226807,0.8182529211044312,0.01776023581624031,0.504059374332428,0.7524991631507874
kenn_bottom_up_adapter_bert_ms,1,2r3tdtq7,0.33,0.6818181872367859,0.6724137663841248,0.6056797504425049,0.01480019837617874,0.07761965692043304,0.07761965692043304,0.6206896305084229,0.8247015476226807,0.13921114802360535,0.07761965692043304,1.0,0.07751937955617905,0.7883884906768799,0.040376849472522736,1.0,0.040376849472522736,0.7883884906768799,0.8322799205780029,0.6455171704292297,0.8182529211044312,0.8467962741851807,22,0.9677419066429138,0.01480019837617874,0.517241358757019,0.019240256398916245,0.99,0.8645212650299072,0.7586206793785095,1.0,0.6741572618484497,0.8570867776870728,0.8322799205780029,1.0,1.0,1.0,0.8645212650299072,0.01480019837617874,0.7524991631507874,0.0184706449508667,0.8013949990272522,0.8013949990272522,0.8570867776870728,0.8467962741851807,0.040376849472522736,0.8247015476226807,0.8182529211044312,0.01776023581624031,0.504059374332428,0.7524991631507874
kenn_hybrid_adapter_bert_ms,0,1t7a7mj2,0.33,0.6363636255264282,0.6120689511299133,0.7530485987663269,0.012826837599277496,0.7647058963775635,0.7647058963775635,0.58620685338974,0.8648340702056885,0.7133758068084717,0.7647058963775635,0.8666667342185974,0.8115941882133484,0.8658068180084229,0.6842105388641357,0.8666667342185974,0.6842105388641357,0.8658068180084229,0.8372452259063721,0.5988588333129883,0.8154752254486084,0.8602094650268555,44,0.9677419066429138,0.012826837599277496,0.517241358757019,0.017513565719127655,0.2,0.863863468170166,0.6919540166854858,0.8666666746139526,0.6741572618484497,0.8563015460968018,0.8372452259063721,0.8666666746139526,0.8666667342185974,0.8666666746139526,0.863863468170166,0.012826837599277496,0.855797529220581,0.01713557355105877,0.8560494780540466,0.8560494780540466,0.8563015460968018,0.8602094650268555,0.6842105388641357,0.8648340702056885,0.8154752254486084,0.016773555427789688,0.8259762525558472,0.855797529220581
kenn_top_down_adapter_bert_ms,0,3ju42f0r,0.33,0.6363636255264282,0.6120689511299133,0.7145974040031433,0.012826837599277496,0.6419753432273865,0.6419753432273865,0.58620685338974,0.8643949627876282,0.658823549747467,0.6419753432273865,0.8666667342185974,0.6829268336296082,0.8649270534515381,0.5098039507865906,0.8666667342185974,0.5098039507865906,0.8649270534515381,0.8355204463005066,0.5988588333129883,0.8154752254486084,0.8565760850906372,44,0.9677419066429138,0.012826837599277496,0.517241358757019,0.017513565719127655,0.4,0.863863468170166,0.6919540166854858,0.8666666746139526,0.6741572618484497,0.8563015460968018,0.8355204463005066,0.8666666746139526,0.8666667342185974,0.8666666746139526,0.863863468170166,0.012826837599277496,0.8536203503608704,0.01713557355105877,0.8549588918685913,0.8549588918685913,0.8563015460968018,0.8565760850906372,0.5098039507865906,0.8643949627876282,0.8154752254486084,0.016773555427789688,0.7387729287147522,0.8536203503608704
kenn_bottom_up_adapter_bert_ms,0,qv8y23ut,0.33,0.6363636255264282,0.6120689511299133,0.7392104864120483,0.012826837599277496,0.7222222685813904,0.7222222685813904,0.58620685338974,0.8646001815795898,0.6956521272659302,0.7222222685813904,0.8666667342185974,0.767123281955719,0.8653382062911987,0.6190476417541504,0.8666667342185974,0.6190476417541504,0.8653382062911987,0.8366016745567322,0.5988588333129883,0.8154752254486084,0.8588519096374512,44,0.9677419066429138,0.012826837599277496,0.517241358757019,0.017513565719127655,0.2,0.863863468170166,0.6919540166854858,0.8666666746139526,0.6741572618484497,0.8563015460968018,0.8366016745567322,0.8666666746139526,0.8666667342185974,0.8666666746139526,0.863863468170166,0.012826837599277496,0.8551264405250549,0.01713557355105877,0.8557136058807373,0.8557136058807373,0.8563015460968018,0.8588519096374512,0.6190476417541504,0.8646001815795898,0.8154752254486084,0.016773555427789688,0.7933948040008545,0.8551264405250549
box_adapter_bert_ms,2,1oxw4ikh,0.26,0.5227272510528564,0.6206896305084229,0.5464975237846375,0.01480019837617874,0.029168693348765373,0.029168693348765373,0.5,0.6808226704597473,0.04315197095274925,0.029168693348765373,1.0,0.022504892200231552,0.5887980461120605,0.014800197444856169,1.0,0.014800197444856169,0.5887980461120605,0.703702449798584,0.5538461208343506,0.6746863722801208,0.7353264093399048,14,0.9411764740943908,0.01480019837617874,0.27586206793785095,0.01776023581624031,0.99,0.8069413900375366,0.6379310488700867,1.0,0.4266666769981384,0.7948566675186157,0.703702449798584,1.0,1.0,1.0,0.8069413900375366,0.01480019837617874,0.5985218286514282,0.015847595408558846,0.6828569173812866,0.6828569173812866,0.7948566675186157,0.7353264093399048,0.014800197444856169,0.6808226704597473,0.6746863722801208,0.01430685631930828,0.4779883325099945,0.5985218286514282
