bbn,ontonotes,figer
/ANIMAL,/other/living_thing/animal,/livingthing/animal
/CONTACT_INFO,-,-
/CONTACT_INFO/url,-,-
/DISEASE,/other/health/malady,/disease
/EVENT,/other/event,/event
/EVENT/HURRICANE,/other/event/natural_disaster,/event/natural_disaster
/EVENT/WAR,/other/event/violent_conflict,/event/military_conflict
/FACILITY,/location,/location
/FACILITY/AIRPORT,/location/structure/airport,/building/airport
/FACILITY/ATTRACTION,-,-
/FACILITY/BRIDGE,/location/transit/bridge,/location/bridge
/FACILITY/BUILDING,/location/structure,/building
/FACILITY/HIGHWAY_STREET,/location/transit/road,/transportation/road
/GAME,-,/game
/GPE,/location,/location
/GPE/CITY,/location/city,/location/city
/GPE/COUNTRY,/location/country,/location/country
/GPE/STATE_PROVINCE,-,/location/province
/LANGUAGE,/other/language,/language
/LAW,/other/legal,/law
/LOCATION,/location,/location
/LOCATION/CONTINENT,-,-
/LOCATION/LAKE_SEA_OCEAN,/location/geography/body_of_water,/location/body_of_water
/LOCATION/REGION,-,-
/LOCATION/RIVER,/location/geography/body_of_water,/location/body_of_water
/ORGANIZATION,/organization,/organization
/ORGANIZATION/CORPORATION,/organization/company,/organization/company
/ORGANIZATION/EDUCATIONAL,/organization/education,/organization/educational_institution
/ORGANIZATION/GOVERNMENT,/organization/government,/government
/ORGANIZATION/HOSPITAL,/location/structure/hospital,/building/hospital
/ORGANIZATION/HOTEL,/location/structure/hotel,/building/hotel
/ORGANIZATION/MUSEUM,/organization/education,/organization/educational_institution
/ORGANIZATION/POLITICAL,/organization/political_party,/government/political_party
/ORGANIZATION/RELIGIOUS,/other/religion,/religion
/PERSON,/person,/person
/PLANT,/other/living_thing,/livingthing
/PRODUCT,/other/product,/product
/PRODUCT/VEHICLE,-,-
/PRODUCT/WEAPON,/other/product/weapon,/product/weapon
/SUBSTANCE,-,-
/SUBSTANCE/CHEMICAL,-,-
/SUBSTANCE/DRUG,/other/health/treatment,-
/SUBSTANCE/FOOD,/other/food,/food
/WORK_OF_ART,/other/art,/art
/WORK_OF_ART/BOOK,/other/art/writing,/written_work
/WORK_OF_ART/PLAY,/other/art/stage,/play
/WORK_OF_ART/SONG,/other/art/music,/music
